date,population,admission,release
1/25/2021,121217.2104,1685.146576,3073.227621
1/26/2021,120607.1294,2463.146576,2664.918097
1/27/2021,120572.1441,2630.897093,2923.715716
1/28/2021,120154.7838,2506.355427,2705.76187
1/29/2021,119961.1319,2514.51376,2754.931589
1/30/2021,119972.8847,2768.110321,1207.857515
1/31/2021,120744.6375,1979.610321,1129.857515
2/1/2021,121333.3903,1718.610321,3244.962907
2/2/2021,120589.9544,2502.401988,2541.93417
2/3/2021,120573.8101,2536.420655,2893.124908
2/4/2021,120553.6659,2875.420655,2378.398241
2/5/2021,120561.8549,2377.920655,2738.703797
2/6/2021,120507.7857,2684.634544,1245.203797
2/7/2021,121246.3164,1983.734544,1122.703797
2/8/2021,121753.3472,1629.734544,3087.002647
2/9/2021,121197.2457,2530.90121,2887.194711
2/10/2021,120940.3003,2630.249226,2753.361377
2/11/2021,120719.2214,2532.282559,2567.472489
2/12/2021,120508.3648,2357.504782,2434.289949
2/13/2021,120545.7701,2471.695258,1090.110462
2/14/2021,121258.4716,1802.811924,1158.443795
2/15/2021,121470.8397,1371.478591,1316.110462
2/16/2021,121630.6602,1476.930972,2268.610462
2/17/2021,121328.976,1964.42621,2363.722143
2/18/2021,121054.8581,2124.963032,2368.468561
2/19/2021,120775.179,2080.289421,2772.968561
2/20/2021,120764.6665,2762.456088,1103.401895
2/21/2021,121617.3985,1957.033866,1153.301895
2/22/2021,122268.1305,1789.676961,3145.561638
2/23/2021,121947.1939,2823.660826,3162.934654
2/24/2021,121690.1645,2906.78027,3217.996559
2/25/2021,121488.0923,3014.794364,3064.721032
2/26/2021,121390.9692,2971.578111,3051.047384
2/27/2021,121358.4999,3018.578111,1307.431999
2/28/2021,122223.9537,2175.828111,1220.374307
3/1/2021,122859.4075,1855.828111,3593.302412
3/2/2021,121865.7216,2690.021701,3110.70764
3/3/2021,121629.0356,2872.271701,3258.796926
3/4/2021,121477.4926,3107.253843,3396.009676
3/5/2021,120960.9814,3069.112597,3124.138939
3/6/2021,120812.4399,2975.764113,1407.305606
3/7/2021,121590.8984,2185.764113,1161.305606
3/8/2021,122390.3569,1960.764113,3411.305606
3/9/2021,121799.9821,2820.930779,4003.272443
3/10/2021,121507.1761,3710.466494,2053.001609
3/11/2021,121500.6202,2046.44566,3207.683428
3/12/2021,121325.1824,3030.266068,2896.781666
3/13/2021,121313.2853,2884.674673,1526.192474
3/14/2021,121993.8671,2201.899275,1332.530656
3/15/2021,122425.092,1763.088867,3285.919545
3/16/2021,121750.4835,2613.088867,3118.203004
3/17/2021,121540.0611,2908.280554,3278.430646
3/18/2021,120918.0715,2652.340715,3163.613965
3/19/2021,120598.7907,2844.333154,2919.658093
3/20/2021,120724.0375,3044.904864,1468.381973
3/21/2021,121475.3589,2217.036705,1203.558444
3/22/2021,122233.6803,1964.703372,3390.783488
3/23/2021,121614.388,2771.49125,3120.783488
3/24/2021,121360.0958,2866.49125,3226.658488
3/25/2021,121068.9286,2933.53125,3141.281483
3/26/2021,120704.3814,2776.734343,3010.739816
3/27/2021,120680.0843,2987.442676,1329.239816
3/28/2021,121612.7872,2261.942676,1334.688092
3/29/2021,122185.7142,1908.597849,3366.742279
3/30/2021,121513.6411,2695.603168,3126.504068
3/31/2021,121310.3549,2929.138854,3101.425121
4/1/2021,121052.0686,2843.138854,3404.402621
4/2/2021,120510.074,2920.618021,2528.541192
4/3/2021,120651.7461,2670.213259,1375.791192
4/4/2021,121389.4182,2113.463259,1225.791192
4/5/2021,122131.0902,1967.463259,3339.541192
4/6/2021,121692.0123,2900.463259,3353.541192
4/7/2021,121381.9344,3038.757377,3415.402303
4/8/2021,121079.4953,3112.963259,3327.06897
